PREG20,¿Y LA PREGUNTA?,Ajustar la presión del aire,Cambiar la fuente de energía,Seleccionar herramientas específicas,Activar el freno de seguridad,Video6,AREA??
PREG21,¿Para que son fundamentales los actuadores?,agilizar,profundizar,movilizar,automatizar,Video1,AREA??
PREG22,¿Cuáles son los tipos más comunes de actuadores?,Solares ó térmicos y mecánicos,Digitales ó analógicos y ópticos,Magnéticos ó acústicos y térmicos,Eléctricos ó hidráulicos y neumáticos,Video1,AREA??
PREG23,¿Cuál es el tipo de energía que convierten los actuadores electricos?,energía cinética,energía térmica,energía nucelar,energía eléctrica,Video1,AREA??
PREG24,¿Cómo es que funcionan los actuadores neumáticos?,Con energía solar,Con electricidad,Con vapor de agua,Con aire comprimido,Video1,AREA??
PREG25,¿En qué tipo de aplicaciones se suelen usar los actuadores hidráulicos?,En relojes inteligentes,En sistemas de iluminación,En juguetes electrónicos,En grúas o equipos de construcción,Video1,AREA??
PREG26,¿Qué hacen los sensores en los sistemas automatizados?,Producen sonido para alarmas,Transmiten datos sin necesidad de energía,Aumentan la velocidad del sistema automáticamente,Detectan cambios y los convierten en señales eléctricas o digitales,Video5,AREA??
PREG27,¿Para qué sirve un sensor de proximidad?,Medir niveles de sonido,Detectar colores en objetos,Registrar datos de temperatura,Detectar objetos sin necesidad de contacto,Video5,AREA??
PREG28,¿Dónde es fundamental un sensor de presión?,En impresoras de papel,En relojes inteligentes,En cámaras digitales,En sistemas hidráulicos y neumáticos,Video5,AREA??
PREG29,¿Qué miden los sensores ópticos?,Humedad del ambiente,Niveles de batería,Velocidad del viento,Cambios de luz,Video5,AREA??
PREG30,¿Qué variable mide un sensor de presión?,Nivel de sonido,Temperatura ambiente,Intensidad de luz,Presión de fluidos o gases,Video5,AREA??
PREG31,¿En qué lenguajes se suelen programar los sistemas electrónicos?,Excel o Word y PowerPoint,SQL o Ruby y Java,HTML o CSS y JavaScript,Ensamblador, C, C++ y Python,Video4,AREA??
PREG32,¿Qué hacen las estructuras de control en la programación de sistemas electrónicos?,Cambian automáticamente el idioma del sistema,Controlan la batería del microcontrolador,Establecen la hora y fecha,Permiten repetir acciones o tomar decisiones según las entradas,Video4,AREA??
PREG33,¿Qué son los sistemas embebidos?,Sensores usados únicamente en robots,Equipos de sonido inalámbricos,Computadoras para videojuegos,Dispositivos programados para tareas específicas como controlar temperatura,Video4,AREA??
PREG34,¿Qué aplicación es un ejemplo de sistema embebido?,Un videojuego en línea,El diseño de una página web,Una red social en el celular,El control de temperatura en un electrodoméstico,Video4,AREA??
PREG35,¿Cuál es uno de los pasos para programar un sistema electrónico?,Pintar el microcontrolador,Desinstalar el código base,Limpiar las señales digitales,Escribir para luego compilar y cargar el código en el microcontrolador,Video4,AREA??
